CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
420399.0,49.0,Female,47.0,16.0,4.0,6.0,Premium,Annual,745.58,11.0,0.0
186393.0,19.0,Male,58.0,12.0,0.0,18.0,Basic,Monthly,377.0,18.0,1.0
329257.0,42.0,Female,41.0,16.0,4.0,14.0,Basic,Annual,986.25,4.0,0.0
219074.0,59.0,Male,16.0,3.0,3.0,5.0,Premium,Annual,991.28,27.0,1.0
93713.0,52.0,Male,44.0,12.0,4.0,17.0,Standard,Annual,563.0,24.0,1.0
191663.0,32.0,Female,28.0,23.0,1.0,30.0,Basic,Monthly,940.0,7.0,1.0
131603.0,33.0,Male,3.0,20.0,0.0,22.0,Basic,Quarterly,158.0,12.0,1.0
246911.0,31.0,Male,10.0,26.0,9.0,23.0,Basic,Annual,996.92,4.0,1.0
289309.0,44.0,Male,41.0,3.0,1.0,10.0,Basic,Quarterly,840.4,2.0,0.0
236640.0,19.0,Female,48.0,16.0,8.0,30.0,Standard,Monthly,575.36,29.0,1.0
231905.0,43.0,Female,40.0,3.0,7.0,2.0,Standard,Monthly,793.96,9.0,1.0
75161.0,41.0,Female,21.0,13.0,9.0,19.0,Standard,Quarterly,712.0,27.0,1.0
113898.0,54.0,Male,40.0,13.0,5.0,30.0,Standard,Monthly,831.0,18.0,1.0
14855.0,20.0,Male,32.0,15.0,10.0,2.0,Standard,Monthly,124.0,3.0,1.0
90182.0,48.0,Female,38.0,19.0,8.0,8.0,Premium,Monthly,175.0,2.0,1.0
349880.0,30.0,Male,16.0,18.0,0.0,4.0,Premium,Quarterly,881.78,16.0,0.0
254140.0,28.0,Male,14.0,1.0,1.0,24.0,Basic,Monthly,370.42,24.0,1.0
10326.0,19.0,Male,48.0,14.0,5.0,10.0,Premium,Annual,487.0,20.0,1.0
13657.0,63.0,Female,52.0,9.0,1.0,2.0,Premium,Monthly,697.0,21.0,1.0
181157.0,26.0,Male,53.0,15.0,10.0,29.0,Basic,Annual,714.0,27.0,1.0
420048.0,48.0,Male,44.0,21.0,3.0,11.0,Basic,Annual,518.01,11.0,0.0
397575.0,22.0,Male,25.0,25.0,1.0,9.0,Standard,Annual,971.38,17.0,0.0
225666.0,41.0,Female,59.0,17.0,0.0,27.0,Standard,Quarterly,750.06,12.0,1.0
957.0,32.0,Male,29.0,13.0,1.0,6.0,Premium,Quarterly,330.0,19.0,1.0
347107.0,35.0,Male,58.0,7.0,0.0,9.0,Standard,Annual,828.46,28.0,0.0
309684.0,30.0,Female,59.0,6.0,1.0,16.0,Basic,Quarterly,724.76,6.0,0.0
231225.0,58.0,Male,6.0,16.0,1.0,5.0,Standard,Monthly,330.1,11.0,1.0
160310.0,19.0,Female,32.0,19.0,9.0,6.0,Basic,Annual,268.0,19.0,1.0
112478.0,58.0,Male,26.0,13.0,1.0,18.0,Standard,Monthly,467.0,8.0,1.0
215690.0,41.0,Male,28.0,3.0,9.0,25.0,Basic,Quarterly,565.78,14.0,1.0
80521.0,57.0,Female,29.0,14.0,2.0,17.0,Premium,Quarterly,553.0,6.0,1.0
166952.0,23.0,Female,3.0,18.0,9.0,22.0,Standard,Quarterly,868.0,15.0,1.0
92174.0,46.0,Female,44.0,7.0,5.0,26.0,Standard,Annual,831.0,24.0,1.0
6631.0,54.0,Female,7.0,29.0,1.0,6.0,Standard,Monthly,735.0,29.0,1.0
317846.0,44.0,Male,45.0,18.0,1.0,16.0,Basic,Annual,697.71,14.0,0.0
235244.0,18.0,Male,21.0,15.0,7.0,22.0,Basic,Quarterly,999.84,25.0,1.0
83642.0,26.0,Male,6.0,29.0,1.0,19.0,Basic,Monthly,821.0,14.0,1.0
117283.0,60.0,Female,42.0,9.0,3.0,3.0,Premium,Monthly,835.0,19.0,1.0
79546.0,24.0,Female,47.0,5.0,4.0,2.0,Basic,Quarterly,633.0,20.0,1.0
185349.0,26.0,Female,14.0,20.0,1.0,6.0,Standard,Monthly,336.0,1.0,1.0
215891.0,42.0,Female,59.0,19.0,5.0,20.0,Standard,Quarterly,121.85,2.0,1.0
236151.0,40.0,Male,36.0,19.0,2.0,21.0,Premium,Quarterly,814.7,12.0,1.0
232238.0,28.0,Female,15.0,14.0,10.0,1.0,Premium,Monthly,706.21,14.0,1.0
292864.0,41.0,Male,32.0,18.0,0.0,3.0,Premium,Annual,867.01,13.0,0.0
332494.0,22.0,Female,9.0,11.0,1.0,19.0,Standard,Annual,509.96,2.0,0.0
96225.0,22.0,Female,46.0,14.0,7.0,23.0,Basic,Monthly,247.0,11.0,1.0
184352.0,28.0,Male,45.0,18.0,9.0,12.0,Premium,Quarterly,885.0,18.0,1.0
12670.0,54.0,Male,42.0,27.0,0.0,23.0,Basic,Annual,344.0,18.0,1.0
